TQ1,TQ2,TQ3,TQ4,TQ5,TQ6,TQ7,TQ8,TQ9,TQ10,TQ11,TQ12,TQ13,TQ14,TQ15,TQ16,SUM_T,%100_T
4,4,1,3,4,4,1,4,1,4,2,1,3,1,3,3,43,68.25396825396825
3,2,2,3,4,1,4,4,4,2,1,4,3,4,3,4,48,76.19047619047619
1,1,1,1,4,4,1,1,4,4,2,2,3,1,1,3,34,53.96825396825397
1,1,1,3,4,1,4,1,3,1,3,3,1,1,3,3,34,53.96825396825397
2,4,4,2,1,4,1,4,4,3,3,3,3,1,4,1,44,69.84126984126983
1,4,4,3,1,4,4,4,1,4,1,4,2,1,2,4,44,69.84126984126983
4,2,1,1,1,1,1,4,1,4,3,2,2,4,2,2,35,55.55555555555555
4,4,2,2,4,1,1,1,3,1,3,2,1,1,3,4,37,58.73015873015873
4,3,3,3,1,1,1,1,3,3,1,1,2,4,1,2,34,53.96825396825397
2,4,4,3,1,1,1,1,2,4,1,1,3,1,2,4,35,55.55555555555555
3,2,2,2,1,1,1,1,4,2,2,4,4,4,2,1,36,57.14285714285714
2,3,4,2,1,4,1,4,4,4,3,1,1,1,3,4,42,66.66666666666666
4,1,4,4,4,4,1,4,4,2,3,4,2,4,3,4,52,82.53968253968253
3,3,1,3,4,4,1,4,3,1,2,2,1,1,1,1,35,55.55555555555555
4,2,2,3,1,4,1,4,1,3,3,2,4,1,2,4,41,65.07936507936508
2,2,1,4,4,4,1,4,1,3,1,2,1,1,2,2,35,55.55555555555555
4,4,1,2,1,4,1,4,3,1,2,2,2,1,3,1,36,57.14285714285714
4,4,3,3,4,4,1,4,3,3,3,1,1,1,3,4,46,73.01587301587301
2,1,4,1,1,4,4,4,1,4,2,4,1,1,4,2,40,63.49206349206349
4,3,4,1,4,1,1,1,1,3,2,2,3,4,3,3,40,63.49206349206349
4,1,4,4,4,4,4,1,4,1,1,1,3,4,3,4,47,74.6031746031746
1,4,3,1,4,1,1,4,4,1,1,1,2,1,3,3,35,55.55555555555555
4,2,2,4,1,1,4,1,3,2,3,2,3,1,4,1,38,60.31746031746032
4,2,3,1,1,1,1,1,1,3,3,2,1,4,3,2,33,52.38095238095238
2,3,4,3,4,1,4,1,4,3,1,2,3,1,3,3,42,66.66666666666666
3,1,1,3,1,1,1,4,3,1,2,4,2,1,3,2,33,52.38095238095238
1,4,4,1,1,1,1,1,2,2,2,3,4,4,1,3,35,55.55555555555555
4,2,3,3,1,1,1,1,2,2,3,2,1,1,1,1,29,46.03174603174603
2,4,4,4,1,4,1,1,2,4,1,4,3,4,4,2,45,71.42857142857143
4,3,2,3,1,1,4,4,1,4,3,4,1,1,1,3,40,63.49206349206349
4,2,2,2,4,4,4,4,1,1,2,2,3,4,3,2,44,69.84126984126983
2,3,2,1,1,1,4,1,3,1,1,4,3,4,3,3,37,58.73015873015873
1,2,3,1,1,4,4,1,4,2,1,2,3,1,2,4,36,57.14285714285714
3,2,1,1,1,4,1,1,1,1,1,4,1,1,1,2,26,41.26984126984127
3,3,1,4,1,1,4,1,1,3,1,2,4,4,4,4,41,65.07936507936508
4,2,3,1,4,4,4,1,1,2,1,3,3,4,1,1,39,61.9047619047619
1,2,1,2,4,4,4,4,3,2,3,3,4,1,3,1,42,66.66666666666666
3,2,4,2,1,4,4,4,3,2,3,3,3,4,3,3,48,76.19047619047619
1,1,3,3,1,4,1,1,2,3,1,1,2,1,4,3,32,50.79365079365079
2,3,4,1,4,4,4,4,4,4,2,2,4,1,3,4,50,79.36507936507937
2,1,4,3,1,1,1,4,2,2,3,4,1,4,4,1,38,60.31746031746032
